Division,District,Upazila,Depth,Arsenic,Union
Khulna,Khulna,Khulna Sadar,267,0.1,Ward No-31
Dhaka,Dhaka,Uttara,213,0.3,Ward No-01
Barisal,Barisal,Gaurnadi,363,3.6,Paurashava
Chittagong,Chandpur,Kachua,224,32.8,Ashrafpur
Barisal,Barisal,Barisal Sadar (Kotwali),302,0.2,Char Monai
Barisal,Barisal,Barisal Sadar (Kotwali),287,0.1,Ward No-05
Barisal,Barisal,Barisal Sadar (Kotwali),302,0.1,Char Kowa
Dhaka,Dhaka,Adabor,183,0.2,Ward No-43
Barisal,Patuakhali,Dumki,296,0.1,Muradia
Dhaka,Dhaka,Mohammadpur,229,1.6,Ward No-47 (part)
Dhaka,Dhaka,Shahbagh,183,0.2,Ward No-56 (part)
Barisal,Patuakhali,Patuakhali Sadar,302,0.4,Laukati
Dhaka,Dhaka,Hazaribagh,152,0.1,Ward No-48 (Part)
Dhaka,Gopalganj,Gopalganj Sadar,195,91.1,Ulpur
Dhaka,Dhaka,Hazaribagh,236,0.2,Ward No-58
Dhaka,Gopalganj,Muksudpur,210,108.8,Dignagar
Dhaka,Madaripur,Rajoir,210,0.1,Isibpur
Chittagong,Noakhali,Kabirhat,276,0.1,Bataiya
Dhaka,Dhaka,Chak Bazar,259,0.1,Ward No-65
Barisal,Patuakhali,Patuakhali Sadar,241,0.2,Laukati
Barisal,Barguna,Amtali,314,0.1,Paurashava
Dhaka,Dhaka,Kotwali,290,0.2,Ward No-73
Barisal,Barguna,Amtali,302,0.5,Paurashava
Dhaka,Dhaka,Motijheel,305,1,Ward No-33
Dhaka,Dhaka,Shahbagh,302,1.1,Ward No-56 (part)
Barisal,Patuakhali,Kala Para,308,5.9,Chakamaiya
Dhaka,Dhaka,Sutrapur,183,0.2,Ward No-79
Barisal,Patuakhali,Kala Para,271,1.5,Nilganj
Barisal,Patuakhali,Kala Para,297,0.1,Nilganj
Barisal,Patuakhali,Patuakhali Sadar,309,0.1,Laukati
Dhaka,Dhaka,Kadamtali,168,0.2,Shyampur
Barisal,Barisal,Wazirpur,256,2,Bamrail
Barisal,Barisal,Banari Para,241,0.1,Iluhar
Dhaka,Narayanganj,Narayanganj Sadar,183,1.1,Fatullah (part)
Dhaka,Narayanganj,Narayanganj Sadar,305,0.5,Narayanganj Paurashava
Khulna,Narail,Narail Sadar,230,2.1,Auria
Dhaka,Narayanganj,Narayanganj Sadar,305,0.3,Narayanganj Paurashava
Khulna,Jessore,Kotwali,340,1.2,Fathehpur
Khulna,Khulna,Sonadanga,342,0.1,Ward No-16
Dhaka,Narayanganj,Narayanganj Sadar,213,0.6,Siddirganj Paurashava
Khulna,Bagerhat,Bagerhat Sadar,298,0.7,Kara Para
Dhaka,Dhaka,Shahbagh,183,0.2,Ward No-56 (part)
Barisal,Pirojpur,Bhandaria,290,2.6,Bhandaria
Dhaka,Dhaka,Ramna,305,0.8,Ward No-53
Barisal,Jhalokati,Jhalokati Sadar,330,4.9,Paurashava
Barisal,Barisal,Barisal Sadar (Kotwali),290,0.1,Char Monai
Dhaka,Dhaka,Ramna,244,0.9,Ward No-55
Dhaka,Dhaka,Tejgaon Ind. Area,274,2,Ward No-37
Barisal,Barisal,Barisal Sadar (Kotwali),301,193.4,Char Kowa
Dhaka,Dhaka,Gulshan,171,0.1,Ward No-19
Dhaka,Gopalganj,Gopalganj Sadar,180,26.9,Satpar
Dhaka,Dhaka,Khilkhet,168,0.1,Ward No-17 (Part)
Khulna,Jessore,Kotwali,342,2.2,Diara
Dhaka,Dhaka,Kafrul,168,0.2,Ward No-04
Khulna,Satkhira,Tala,330,27.3,Sarulia
Khulna,Jessore,Keshabpur,180,15.3,Keshabpur
Khulna,Khulna,Dumuria,300,0.1,Gutudia
Dhaka,Dhaka,Pallabi,293,1.3,Ward No-05
Dhaka,Dhaka,Turag,271,0.9,Harirampur (Part)
Barisal,Pirojpur,Nesarabad (Swarupkati),270,6,Samudaykati
Barisal,Patuakhali,Dumki,308,0.6,Muradia
Dhaka,Dhaka,Dhanmondi,238,1.3,Ward No-49
Dhaka,Dhaka,Sher-e-bangla Nagar,213,0.3,Ward No-40 (Part)
Dhaka,Gopalganj,Gopalganj Sadar,185,62,Ulpur
Dhaka,Madaripur,Madaripur Sadar,220,0.9,Rasti
Dhaka,Dhaka,Sher-e-bangla Nagar,244,1,Ward No-41
Dhaka,Dhaka,Mirpur,259,0.8,Ward No-12
Dhaka,Madaripur,Shib Char,262,5.9,Sannyasir Char
Dhaka,Dhaka,Biman Bandar,155,0.1,Dakshinkhan (part)
Chittagong,Lakshmipur,Ramgati,290,0.3,Bara Kheri
Dhaka,Dhaka,Badda,183,0.2,Ward No-17 (Part)
Chittagong,Lakshmipur,Kamalnagar,301,1.4,Torabgang
Dhaka,Dhaka,Gulshan,244,0.3,Ward No-18
Khulna,Jessore,Abhaynagar,225,1.4,Prambag
Dhaka,Dhaka,Badda,183,0.3,Satarkul
Khulna,Khulna,Khulna Sadar,285,0.5,Ward No-31
Dhaka,Madaripur,Rajoir,214,0.5,Isibpur
Dhaka,Dhaka,Badda,305,3.7,Ward No-21
Chittagong,Chandpur,Hajiganj,245,0.8,Purba Barkul
Chittagong,Khagrachhari,Matiranga,258,0.8,Belchhari
Dhaka,Dhaka,Uttara,171,0.2,Ward No-01
Dhaka,Dhaka,Badda,177,0.2,Bhatara
Dhaka,Dhaka,Jatrabari,244,1,Ward No-85
Dhaka,Dhaka,Sabujbagh,335,1.8,Ward No-28
