Division,District,Upazila,Depth,Arsenic,Union
Chittagong,Lakshmipur,Lakshmipur Sadar,30,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,30,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,218,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,34,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,980,0,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,840,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,780,0,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,780,0,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,800,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,30,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,840,0,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,890,0,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,26,30,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,27,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,790,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,20,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,27,40,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,20,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,20,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,870,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,760,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,750,10,Kushakhali
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali
