id,Division,District,Upazila,Union,Mouza,Depth,Arsenic,lon,lat
13,Dhaka,Dhaka,Keraniganj,Zinjira,Zinjira,259,0.1,90.39119,23.71192
24,Dhaka,Narayanganj,Narayanganj Sadar,Siddirganj Paurashava,Godnail,213,0.6,90.51174,23.6592
21,Dhaka,Narayanganj,Narayanganj Sadar,Fatullah,Isdair (Part),183,1.1,90.49177,23.62699
22,Dhaka,Narayanganj,Narayanganj Sadar,Paurashava, ,305,0.5,90.50247,23.60708
23,Dhaka,Narayanganj,Narayanganj Sadar,Paurashava, ,305,0.3,90.50426,23.62857
39,Dhaka,Madaripur,Shib Char,Sannyasir Char,Sannyasir Char,262,5.9,90.11,23.39
10,Dhaka,Gopalganj,Muksudpur,Dignagar,Sunuria,210,108.8,89.98,23.31
3,Chittagong,Chandpur,Kachua,Ashrafpur,Ashrafpur,224,32.8,90.96,23.28
11,Dhaka,Madaripur,Rajoir,Isibpur,Hasankandi,210,0.1,90.1,23.24
44,Dhaka,Madaripur,Rajoir,Isibpur,Hasankandi,214,0.5,90.1,23.24
45,Chittagong,Chandpur,Hajiganj,Purba Barkul,Raicho,245,0.8,90.86,23.23
11030217,Chittagong,Feni,Parshuram,Parshuram,Baurkhuma,228,0,91.44889,23.23972
11030218,Chittagong,Feni,Parshuram,Parshuram,Baurkhuma,150,0,91.45361,23.22556
11030219,Chittagong,Feni,Parshuram,Parshuram,Baurkhuma,239,0,91.45472,23.22944
11030220,Chittagong,Feni,Parshuram,Mirzanagar,Dakshin Kautali,212,0,91.43722,23.22444
11030216,Chittagong,Feni,Parshuram,Parshuram,Khandakia,190,0,91.4425,23.21917
11030221,Chittagong,Feni,Parshuram,Parshuram,Khandakia,231,0,91.43944,23.22
11030223,Chittagong,Feni,Parshuram,Parshuram,Anantapur,194,0,91.43583,23.205
11030227,Chittagong,Feni,Parshuram,Parshuram,Anantapur,217,0,91.44167,23.20806
11030230,Chittagong,Feni,Parshuram,Parshuram,Anantapur,161,0,91.43806,23.21194
11030224,Chittagong,Feni,Parshuram,Parshuram,Kolapara,222,0,91.45,23.20444
11030225,Chittagong,Feni,Parshuram,Parshuram,Kolapara,198,0,91.45306,23.2075
11030226,Chittagong,Feni,Parshuram,Parshuram,Kolapara,209,0,91.44944,23.20917
11030228,Chittagong,Feni,Parshuram,Parshuram,Kolapara,212,0,91.44639,23.21139
11030229,Chittagong,Feni,Parshuram,Parshuram,Kolapara,268,0,91.44778,23.21056
11030231,Chittagong,Feni,Parshuram,Parshuram,Kolapara,232,0,91.45361,23.20944
11030238,Chittagong,Feni,Parshuram,Parshuram,Kolapara,184,0,91.45194,23.2075
11030232,Chittagong,Feni,Parshuram,Parshuram,Uttar Gutuma,237,0,91.47139,23.2075
11030233,Chittagong,Feni,Parshuram,Parshuram,Uttar Gutuma,216,0,91.47722,23.20056
11030236,Chittagong,Feni,Parshuram,Parshuram,Uttar Gutuma,230,0,91.4675,23.20167
11030222,Chittagong,Feni,Parshuram,Parshuram,Salia,233,0,91.43611,23.20056
