Division,District,Upazila,Union,Mouza,Depth,Arsenic
Barisal,Barguna,Amtali,Amtali,Amtali,,
Barisal,Barguna,Amtali,Amtali,Chalabhanga,,
Barisal,Barguna,Amtali,Amtali,Chhota Nachna Para,,
Barisal,Barguna,Amtali,Amtali,Nachna Para,,
Barisal,Barguna,Amtali,Amtali,Nilganj,,
Barisal,Barguna,Amtali,Amtali,Pujakhola,,
Barisal,Barguna,Amtali,Amtali,Uttar Tiakhali,,
Barisal,Barguna,Amtali,Arpangashia,Arpangashia,,
Barisal,Barguna,Amtali,Arpangashia,Ghopkhali,,
Barisal,Barguna,Amtali,Arpangashia,Tarikata,,
Barisal,Barguna,Amtali,Atharagashia,Atharagashia,,
Barisal,Barguna,Amtali,Atharagashia,Chalitabunia,,
Barisal,Barguna,Amtali,Atharagashia,Gazipur,,
Barisal,Barguna,Amtali,Atharagashia,Gerabunia,,
Barisal,Barguna,Amtali,Atharagashia,Sakharia,,
Barisal,Barguna,Amtali,Atharagashia,Sonakhali,,
Barisal,Barguna,Amtali,Barabagi,Barabagi,,
Barisal,Barguna,Amtali,Chhota Bagi,Bethi Para,,
Barisal,Barguna,Amtali,Chhota Bagi,Char Para,,
Barisal,Barguna,Amtali,Chhota Bagi,Chhota Bagi,,
Barisal,Barguna,Amtali,Chhota Bagi,Gabtali,,
Barisal,Barguna,Amtali,Chowra,Chandra,,
Barisal,Barguna,Amtali,Chowra,Chowra,,
Barisal,Barguna,Amtali,Chowra,Ghotkhali,,
Barisal,Barguna,Amtali,Chowra,Patakata,,
Barisal,Barguna,Amtali,Gulisakhali,Fakirkhali,,
Barisal,Barguna,Amtali,Gulisakhali,Gojkhali,,
Barisal,Barguna,Amtali,Gulisakhali,Gulisakhali,,
Barisal,Barguna,Amtali,Gulisakhali,Kalagachhia,,
Barisal,Barguna,Amtali,Gulisakhali,Kalibari,,
Barisal,Barguna,Amtali,Gulisakhali,Khekuani,,
Barisal,Barguna,Amtali,Haldia,Dakshin Raogha,,
Barisal,Barguna,Amtali,Haldia,Dakshin Taktabunia,,
Barisal,Barguna,Amtali,Haldia,Haldia,,
Barisal,Barguna,Amtali,Haldia,Kanthalia,,
Barisal,Barguna,Amtali,Haldia,Kulair Char,,
Barisal,Barguna,Amtali,Haldia,Paschim Chila,,
Barisal,Barguna,Amtali,Haldia,Purba Chila,,
Barisal,Barguna,Amtali,Haldia,Sonauta,,
Barisal,Barguna,Amtali,Haldia,Tepura,,
Barisal,Barguna,Amtali,Haldia,Uttar Raogha,,
