path,correct
Chittagong#Brahmanbaria,Chittagong#Brahamanbaria
Dhaka#Netrokona,Mymensingh#Netrakona
Dhaka#Mymenshingh,Mymensingh#Mymensingh
Rajshahi#Dinajpur,Rangpur#Dinajpur
Rajshahi#Gaibandha,Rangpur#Gaibandha
Khulna#Narail#Narail,Khulna#Narail#Narail Sadar
Khulna#Jessore#Bagherpara,Khulna#Jessore#Bagher Para
Khulna#Jessore#Chowgachha,Khulna#Jessore#Chaugachha
Khulna#Chuadanga#Chuadanga,Khulna#Chuadanga#Chuadanga Sadar
Khulna#Chuadanga#Jibannagar,Khulna#Chuadanga#Jiban Nagar
Sylhet#Habiganj#Baniachang,Sylhet#Habiganj#Baniachong
Sylhet#Sylhet#Beanibazar,Sylhet#Sylhet#Beani Bazar
Sylhet#Sylhet#Gowinghat,Sylhet#Sylhet#Gowainghat
Sylhet#Sunamganj#Dharmapasha,Sylhet#Sunamganj#Dharampasha
Sylhet#Sunamganj#Dowara Bazar,Sylhet#Sunamganj#Dowarabazar
Chittagong#Brahmanbaria#Brahmanbaria,Chittagong#Brahamanbaria#Bijoynagar
Chittagong#Comilla#Brahmanpara,Chittagong#Comilla#Brahman Para
Chittagong#Feni#Dagan Bhuiyan,Chittagong#Feni#Daganbhuiyan
Barisal#Bhola#Bhola,Barisal#Bhola#Bhola Sadar
Khulna#Jessore#Abhaynagar#Prembag,Khulna#Jessore#Abhaynagar#Prambag
Khulna#Jessore#Abhaynagar#Sundali,Khulna#Jessore#Abhaynagar#Sundoli
Khulna#Jessore#Abhaynagar#Noapara,Khulna#Jessore#Abhaynagar#Noapara Paurashava
Khulna#Jessore#Abhaynagar#Subhapara,Khulna#Jessore#Abhaynagar#Subha Para
Khulna#Jessore#Chowgachha#Chowgachha,Khulna#Jessore#Chaugachha#Chaugachha
Khulna#Jessore#Keshabpur#Mongalkot,Khulna#Jessore#Keshabpur#Mangalkot
Khulna#Satkhira#Assasuni#Dargapur,Khulna#Satkhira#Assasuni#Durgapur
Khulna#Chuadanga#Chuadanga#Begumpur,Khulna#Chuadanga#Chuadanga Sadar#Begampur
Khulna#Chuadanga#Chuadanga#Maminpur,Khulna#Chuadanga#Chuadanga Sadar#Mominpur
