path,correct
 ,~none~
Chittagong#Cox's Bazar,Chittagong#Cox'S Bazar
Dhaka#Dhaka# ,~none~
Dhaka#Shariatpur#Shariatpur Sadar,Dhaka#Shariatpur#Shariatpur Sadar (Palong)
Khulna#Khulna#Daulatpur,~none~
Barisal#Barisal#BrslSdr(Kotwali,Barisal#Barisal#Barisal Sadar (Kotwali)
Sylhet#Habiganj#Habiganj sadar,Sylhet#Habiganj#Habiganj Sadar
Rangpur#Rangpur#kaunia,Rangpur#Rangpur#Kaunia
Rajshahi#Naogaon#Naogaon sadar,Rajshahi#Naogaon#Naogaon Sadar
Dhaka#Dhaka#Savar#Paurashava,~none~
Dhaka#Narayanganj#Narayanganj Sadar#Paurashava,~none~
Dhaka#Narayanganj#Bandar#KadamRasulPaurasha,~none~
Dhaka#Madaripur#Madaripur Sadar#Paurashava,~none~
Dhaka#Gopalganj#Gopalganj Sadar#Paurashava,~none~
Dhaka#Narsingdi#Narsingdi Sadar#Paurashava,~none~
Dhaka#Tangail#Gopalpur#Paurashava,~none~
Dhaka#Tangail#Tangail Sadar#Paurashava,~none~
Dhaka#Munshiganj#Munshiganj Sadar#Paurashava,~none~
Dhaka#Kishoreganj#Kishoreganj Sadar#Paurashava,~none~
Dhaka#Kishoreganj#Bajitpur#Paurashava,~none~
Dhaka#Kishoreganj#Bhairab#Paurashava,~none~
Dhaka#Faridpur#Faridpur Sadar#Paurashava,~none~
Dhaka#Shariatpur#Shariatpur Sadar#Paurashava,~none~
Dhaka#Gazipur#Gazipur Sadar#Paurashava,~none~
Dhaka#Gazipur#Gazipur Sadar#Tongi Paurashava,~none~
Dhaka#Rajbari#Pangsha#Paurashava,~none~
Dhaka#Rajbari#Rajbari Sadar#Paurashava,~none~
Dhaka#Manikganj#Manikganj Sadar#Paurashava,~none~
Chittagong#Chandpur#Hajiganj#Paurashava,~none~
Chittagong#Chandpur#Chandpur Sadar#Paurashava,~none~
Chittagong#Feni#Fulgazi#Amjadhat,~none~
Chittagong#Lakshmipur#Ramganj#Paurashava,~none~
Chittagong#Lakshmipur#Lakshmipur Sadar#Paurashava,~none~
Chittagong#Lakshmipur#Ramgati#Char Poragacha,~none~
Chittagong#Noakhali#Begumganj#ChaumohanPaurshva,~none~
Chittagong#Noakhali#Noakhali Sadar (Sudharam)#Paurashava,~none~
Chittagong#Noakhali#Noakhali Sadar (Sudharam)#Anderchar,~none~
Chittagong#Noakhali#Subarnachar#Char Clerk,~none~
Chittagong#Brahamanbaria#Brahmanbaria Sadar#Paurashava,~none~
Chittagong#Comilla#Comilla Adarsha Sadar#Comilla Paurashava,~none~
Chittagong#Cox's Bazar#Cox'S Bazar Sadar#Paurashava,~none~
Khulna#Jessore#Kotwali#Jessore Paurashava,~none~
Khulna#Narail#Narail Sadar#Narail Paurashava,~none~
Khulna#Narail#Kalia#Paurashava,~none~
Khulna#Satkhira#Kalaroa#Paurashava,~none~
