path,correct
BARISAL,Barisal
CHITTAGONG,Chittagong
BARISAL#BARISAL,Barisal#Barisal
BARISAL#PIROJPUR,Barisal#Pirojpur
CHITTAGONG#FENI,Chittagong#Feni
CHITTAGONG#LAXMIPUR,Chittagong#Lakshmipur
CHITTAGONG#NOAKHALI,Chittagong#Noakhali
BARISAL#BARISAL#Bakergonj,Barisal#Barisal#Bakerganj
BARISAL#BARISAL#Barisal Sadar,Barisal#Barisal#Barisal Sadar (Kotwali)
CHITTAGONG#LAXMIPUR#Laxmipur Sadar,Chittagong#Lakshmipur#Lakshmipur Sadar
CHITTAGONG#NOAKHALI#Begumgonj,Chittagong#Noakhali#Begumganj
CHITTAGONG#NOAKHALI#Noakhali Sadar,Chittagong#Noakhali#Noakhali Sadar (Sudharam)
BARISAL#BARISAL#Bakergonj#Rongosree,Barisal#Barisal#Bakerganj#Rangasree
BARISAL#BARISAL#Bakergonj#Niamoti,Barisal#Barisal#Bakerganj#Niamati
BARISAL#BARISAL#Bakergonj#Dudhol,Barisal#Barisal#Bakerganj#Dudhal
BARISAL#BARISAL#Bakergonj#Charamoddi,Barisal#Barisal#Bakerganj#Char Amaddi
BARISAL#BARISAL#Bakergonj#Koloshkati,Barisal#Barisal#Bakerganj#Kalaskati
BARISAL#BARISAL#Bakergonj#Vharpasha,Barisal#Barisal#Bakerganj#Bhar Pasha
BARISAL#BARISAL#Bakergonj#Durgapasha,Barisal#Barisal#Bakerganj#Durga Pasha
BARISAL#BARISAL#Barisal Sadar#Sayestabad,Barisal#Barisal#Barisal Sadar (Kotwali)#Shayestabad
BARISAL#BARISAL#Barisal Sadar#Chandramohon,Barisal#Barisal#Barisal Sadar (Kotwali)#Chandra Mohan
BARISAL#BARISAL#Barisal Sadar#Chandpura,Barisal#Barisal#Barisal Sadar (Kotwali)#Chandpur
BARISAL#BARISAL#Barisal Sadar#Char Kaowa,Barisal#Barisal#Barisal Sadar (Kotwali)#Char Kowa
BARISAL#BARISAL#Barisal Sadar#Roypasha Karapur,Barisal#Barisal#Barisal Sadar (Kotwali)#Roy Pasha Karapur
BARISAL#PIROJPUR#Pirojpur Sadar#Sariktala-Dumoritala,~none~
BARISAL#PIROJPUR#Pirojpur Sadar#Kadomtala,Barisal#Pirojpur#Pirojpur Sadar#Kadamtala
BARISAL#PIROJPUR#Pirojpur Sadar#Sikdarmallik,Barisal#Pirojpur#Pirojpur Sadar#Sikdar Mallik
BARISAL#PIROJPUR#Pirojpur Sadar#Sankarpasha,~none~
BARISAL#PIROJPUR#Pirojpur Sadar#Parerhat,~none~
BARISAL#PIROJPUR#Pirojpur Sadar#Pottashi,~none~
BARISAL#PIROJPUR#Pirojpur Sadar#Balipara,~none~
CHITTAGONG#FENI#Sonagazi#Motigonj,~none~
CHITTAGONG#FENI#Sonagazi#Bogadana,~none~
CHITTAGONG#FENI#Sonagazi#Mongolkandi,~none~
CHITTAGONG#FENI#Sonagazi#Char Mozlishpur,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#North Hamchhadi,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#South Hamchhadi,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Porbatingar,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Shakchar,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Bhangakha,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Dalalbazar,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Bhobanigonj,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#North Joypur,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Dattapara,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Char Shahi,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Boshikpur,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Digholi,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Hazirpara,~none~
CHITTAGONG#LAXMIPUR#Laxmipur Sadar#Chandragonj,~none~
CHITTAGONG#LAXMIPUR#Ramgati#Char Kalkini,~none~
CHITTAGONG#LAXMIPUR#Ramgati#Hazirhat,~none~
CHITTAGONG#LAXMIPUR#Ramgati#Char Folkon,~none~
CHITTAGONG#LAXMIPUR#Ramgati#Char Badam,~none~
CHITTAGONG#LAXMIPUR#Ramgati#Char Kadir,~none~
CHITTAGONG#LAXMIPUR#Ramgati#Char Laurenge,~none~
CHITTAGONG#LAXMIPUR#Ramgati#Berakheri,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Joyag,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Amishapara,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Chayani,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Deuti,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Hazipur,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Begumgonj,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Nateshwar,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Ambarnagar,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Bozra,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Aliarpur,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Nodna,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Rajgonj,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Eklaspur,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Mirwarishpur,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Norouttompur,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Sonapur,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Sonaimuri,~none~
CHITTAGONG#NOAKHALI#Begumgonj#Barogaon,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Aeozbalia,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Kaladarap,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Goshbag,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Char Wapda,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Sundalpur,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Char Bata,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Char Jubilee,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Char Jabbar,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Noannoi,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Char Clark,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Narouttompur,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Chaprashirhat,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Bataia,~none~
CHITTAGONG#NOAKHALI#Noakhali Sadar#Newazpur,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Dewali,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Char Baligram,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Char Samsuddi Baligram,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Bat Baligram,~none~
BARISAL#BARISAL#Bakergonj#Garuria#South  Baligram,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Kathuria,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Kathipara,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Jeneia,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Khoyrabad,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Shaheb Pur,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Runasi Pusuri,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Char Awaliapur,~none~
BARISAL#BARISAL#Bakergonj#Garuria#South Dewali,~none~
BARISAL#BARISAL#Bakergonj#Garuria#South Bhandari Kathi,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Bhandari Kathi,~none~
BARISAL#BARISAL#Bakergonj#Garuria#Ghabi Khala,~none~
