division,district,upazila,union,depth 0+,depth 0-90,depth 90+,depth 90-150,depth 150+,depth 0-15.3,depth 15.3-45,depth 45-65,depth 65-90
Chittagong,Lakshmipur,Lakshmipur Sadar,Tiariganj,78,3,75,0,75,3,0,0,0
Chittagong,Lakshmipur,Lakshmipur Sadar,Char Ramani Mohan,31,3,28,0,28,3,0,0,0
Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Paurashava,29,1,28,0,28,0,1,0,0
Chittagong,Lakshmipur,Lakshmipur Sadar,Tum Char,67,1,66,0,66,1,0,0,0
Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,633,578,55,0,55,0,569,8,1
Chittagong,Lakshmipur,Lakshmipur Sadar,Uttar Hamchadi,2439,2207,232,14,218,0,1655,482,70
Chittagong,Lakshmipur,Lakshmipur Sadar,Dakshin Hamchadi,1546,1375,171,5,166,0,1115,231,29
Chittagong,Lakshmipur,Lakshmipur Sadar,Laharkandi,1740,1655,85,0,85,0,1492,142,21
Chittagong,Lakshmipur,Lakshmipur Sadar,Mandari,2166,2020,146,3,143,0,1861,142,17
Chittagong,Lakshmipur,Lakshmipur Sadar,Parbatinagar,1408,1364,44,8,36,0,1257,81,26
Chittagong,Lakshmipur,Lakshmipur Sadar,Shak Char,1445,1251,194,1,193,0,1172,68,11
Chittagong,Lakshmipur,Lakshmipur Sadar,Char Ruhita,693,477,216,1,215,0,437,34,6
Chittagong,Lakshmipur,Lakshmipur Sadar,Bangakha,1952,1910,42,2,40,0,1677,210,23
Chittagong,Lakshmipur,Lakshmipur Sadar,Dalal Bazar,1398,1163,235,6,229,0,612,489,62
Chittagong,Lakshmipur,Lakshmipur Sadar,Bhabaniganj,2260,2014,246,4,242,0,1857,142,15
Chittagong,Lakshmipur,Lakshmipur Sadar,Uttar Joypur,1771,1690,81,1,80,0,1289,363,38
Chittagong,Lakshmipur,Lakshmipur Sadar,Datta Para,3263,3137,126,13,113,0,2608,441,88
Chittagong,Lakshmipur,Lakshmipur Sadar,Charsai,2379,2325,54,2,52,0,2210,101,14
Chittagong,Lakshmipur,Lakshmipur Sadar,Basikpur,3101,2890,211,8,203,0,2332,455,103
Chittagong,Lakshmipur,Lakshmipur Sadar,Dighali,1954,1913,41,3,38,0,1732,152,29
Chittagong,Lakshmipur,Lakshmipur Sadar,Hajir Para,2466,2415,51,5,46,0,1991,368,56
Chittagong,Lakshmipur,Lakshmipur Sadar,Chandraganj,3069,3004,65,6,59,0,2604,365,35
Chittagong,Lakshmipur,Lakshmipur Sadar,###,35888,33396,2492,82,2410,7,28471,4274,644
Chittagong,Lakshmipur,Ramgati,Bara Kheri,2,1,1,0,1,1,0,0,0
Chittagong,Lakshmipur,Ramgati,Char Ramiz,69,0,69,0,69,0,0,0,0
Chittagong,Lakshmipur,Ramgati,Char Alexandar,61,1,60,0,60,1,0,0,0
Chittagong,Lakshmipur,Ramgati,Char Algi,25,1,24,0,24,1,0,0,0
Chittagong,Lakshmipur,Ramgati,Char Bedam,17,1,16,0,16,1,0,0,0
Chittagong,Lakshmipur,Ramgati,Char Poragacha,34,0,34,0,34,0,0,0,0
Chittagong,Lakshmipur,Ramgati,Ramgati Paurashava,5,0,5,0,5,0,0,0,0
Chittagong,Lakshmipur,Ramgati,Char Gazi,2,0,2,0,2,0,0,0,0
Chittagong,Lakshmipur,Ramgati,Char Abdullah,3,0,3,0,3,0,0,0,0
Chittagong,Lakshmipur,Ramgati,###,218,4,214,0,214,4,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Torabgang,93,1,92,0,92,1,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Hajirhat,63,0,63,0,63,0,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Char Lawrence,60,1,59,0,59,1,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Char Falcon,23,0,23,0,23,0,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Patarir Hat,69,1,68,0,68,1,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Saheberhat,54,0,54,0,54,0,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Char Martin,33,1,32,0,32,1,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Char Kalkini,14,0,14,0,14,0,0,0,0
Chittagong,Lakshmipur,Kamalnagar,Char Kadira,23,0,23,0,23,0,0,0,0
Chittagong,Lakshmipur,Kamalnagar,###,432,4,428,0,428,4,0,0,0
Chittagong,Lakshmipur,Roypur,Roypur Paurashava,57,1,56,0,56,1,0,0,0
Chittagong,Lakshmipur,Roypur,Keroa,203,1,202,0,202,1,0,0,0
Chittagong,Lakshmipur,Roypur,Royipur,118,0,118,0,118,0,0,0,0
Chittagong,Lakshmipur,Roypur,North Char Ababil,140,0,140,0,140,0,0,0,0
Chittagong,Lakshmipur,Roypur,South Char Bangshi Union,131,0,131,0,131,0,0,0,0
Chittagong,Lakshmipur,Roypur,Bamni,118,0,118,0,118,0,0,0,0
Chittagong,Lakshmipur,Roypur,South Char Ababil,147,1,146,0,146,1,0,0,0
Chittagong,Lakshmipur,Roypur,North Char Bangshi,145,1,144,0,144,1,0,0,0
Chittagong,Lakshmipur,Roypur,Char Mohana,181,1,180,0,180,1,0,0,0
Chittagong,Lakshmipur,Roypur,Char Pata,90,0,90,0,90,0,0,0,0
Chittagong,Lakshmipur,Roypur,Sonapur,133,1,132,0,132,1,0,0,0
