div,dis,upa,uni,mou,depth,colour,as
Khulna,Chuadanga,Jiban Nagar,Simanta,Medinipur,32,Red,5
Khulna,Chuadanga,Jiban Nagar,Simanta,Medinipur,40,Red,5
Khulna,Chuadanga,Jiban Nagar,Simanta,Medinipur,0,Red,8.3
Khulna,Chuadanga,Jiban Nagar,Simanta,Medinipur,27,Red,10.7
Khulna,Chuadanga,Jiban Nagar,Simanta,Medinipur,44,Red,15
Khulna,Chuadanga,Jiban Nagar,Simanta,Sankhari,14,Black,0.3
Khulna,Chuadanga,Jiban Nagar,Simanta,Sankhari,23,Red,18.4
Khulna,Chuadanga,Jiban Nagar,Simanta,Sankhari,30,Red,24.5
Khulna,Chuadanga,Jiban Nagar,Banka,Pratappur,50,Red,66
Khulna,Chuadanga,Jiban Nagar,Banka,Pratappur,20,Red,282
Khulna,Chuadanga,Jiban Nagar,Banka,Pratappur,24,Red,6
Khulna,Chuadanga,Jiban Nagar,Banka,Panara Sati,32,Red,16
Khulna,Chuadanga,Jiban Nagar,Banka,Panara Sati,37,Red,11
Khulna,Chuadanga,Jiban Nagar,Banka,Panara Sati,59,Red,8
Khulna,Chuadanga,Jiban Nagar,Banka,Panara Sati,50,Red,10
Khulna,Jhenaidah,Maheshpur,Fatehpur,Chandpur,14,Black,4
Khulna,Jhenaidah,Maheshpur,Fatehpur,Chandpur,40,Red,99
Khulna,Jhenaidah,Maheshpur,Fatehpur,Chandpur,40,Red,140
Khulna,Jhenaidah,Maheshpur,Fatehpur,Chandpur,37,Red,139
Khulna,Jhenaidah,Maheshpur,Fatehpur,Chandpur,15,Red,82
Khulna,Jhenaidah,Maheshpur,Fatehpur,Chandpur,17,Black,1
Khulna,Jhenaidah,Maheshpur,Fatehpur,Purandapur,18,Red,8
Khulna,Jhenaidah,Maheshpur,Fatehpur,Purandapur,18,Red,67
Khulna,Jhenaidah,Maheshpur,Fatehpur,Purandapur,40,Red,23.1
Khulna,Jhenaidah,Maheshpur,Fatehpur,Purandapur,44,Red,27.1
Khulna,Jhenaidah,Maheshpur,S.k.b.(sundarpur),Bazrapur,15,Red,58
Khulna,Jhenaidah,Maheshpur,S.k.b.(sundarpur),Bazrapur,21,Black,40.5
Khulna,Jhenaidah,Maheshpur,S.k.b.(sundarpur),Bazrapur,46,Red,39.6
Khulna,Jhenaidah,Maheshpur,S.k.b.(sundarpur),Bazrapur,17,Red,33.7
Khulna,Jhenaidah,Maheshpur,S.k.b.(sundarpur),Bazrapur,15,Black,2.6
Khulna,Jhenaidah,Kotchandpur,Baluhar,Ramchandrapur,58,Black,0.6
Khulna,Jhenaidah,Kotchandpur,Baluhar,Ramchandrapur,37,Red,31.8
Khulna,Jhenaidah,Kotchandpur,Baluhar,Ramchandrapur,58,Black,0.3
Khulna,Jhenaidah,Kotchandpur,Elangi,Elangi,30,Red,42
Khulna,Jhenaidah,Kotchandpur,Elangi,Elangi,49,Black,2.8
Khulna,Jhenaidah,Kotchandpur,Elangi,Elangi,64,Black,5
Khulna,Jhenaidah,Kotchandpur,Elangi,Elangi,78,Red,87
Khulna,Jhenaidah,Kotchandpur,Elangi,Elangi,55,Black,2
Khulna,Jhenaidah,Kotchandpur,Elangi,Elangi,58,Black,0
Khulna,Jhenaidah,Kotchandpur,Elangi,Elangi,44,Black,0
Khulna,Jhenaidah,Kaliganj,Trilochanpur,Bara Ghighati,55,Black,59
Khulna,Jhenaidah,Kaliganj,Trilochanpur,Bara Ghighati,56,Red,24
Khulna,Jhenaidah,Kaliganj,Trilochanpur,Bara Ghighati,50,Black,29
Khulna,Jhenaidah,Kaliganj,Trilochanpur,Bara Ghighati,43,Black,43
Khulna,Jhenaidah,Kaliganj,Trilochanpur,Bara Ghighati,50,Black,0
Khulna,Jhenaidah,Kaliganj,Simla Rokonpur,Ishwarba,24,Red,6
Khulna,Jhenaidah,Kaliganj,Simla Rokonpur,Ishwarba,27,Red,8
Khulna,Jhenaidah,Kaliganj,Simla Rokonpur,Ishwarba,38,Red,11
Khulna,Jhenaidah,Kaliganj,Simla Rokonpur,Ishwarba,43,Black,7
Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,56,Black,0.2
Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,30,Red,52.4
Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,52,Red,7.3
Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,49,Red,36.3
Khulna,Jhenaidah,Kaliganj,Niamatpur,Niamatpur,43,Red,36.7
Khulna,Jhenaidah,Kaliganj,Niamatpur,Niamatpur,52,Red,30.6
Khulna,Jhenaidah,Kaliganj,Niamatpur,Raghunathpur,56,Red,70.4
Khulna,Jhenaidah,Kaliganj,Kola,Kola,43,Black,0.3
Khulna,Jhenaidah,Kaliganj,Kola,Kola,52,Black,0.2
Khulna,Jhenaidah,Kaliganj,Kola,Kola,49,Black,0.1
Khulna,Jhenaidah,Kaliganj,Kola,Kola,49,Black,0.4
Khulna,Jhenaidah,Kaliganj,Kola,Kola,18,Red,40.4
Khulna,Jhenaidah,Kaliganj,Kola,Madhyapur,55,Red,91
Khulna,Jhenaidah,Kaliganj,Kola,Madhyapur,55,Black,0
Khulna,Jhenaidah,Kaliganj,Kola,Khalkula,44,Black,0
Khulna,Jhenaidah,Kaliganj,Kola,Madhyapur,41,Black,1
Khulna,Jhenaidah,Kaliganj,Kola,Pariat,49,Black,0.3
Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,49,Black,248.9
Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,64,Black,0.2
Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,49,Black,0.3
Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,46,Black,0.1
Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,55,Black,0.5
Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,55,Black,0
Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,29,Black,0
Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,50,Black,0
Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,52,Black,0
Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,58,Black,1
Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,55,Black,10
Khulna,Magura,Shalikha,Dhaneshwargati,Singra,61,Black,9
Khulna,Magura,Shalikha,Talkhari,Bhulbaria,49,Black,1
Khulna,Magura,Shalikha,Talkhari,Bhulbaria,49,Black,0
Khulna,Magura,Shalikha,Talkhari,Satanfuria,55,Black,1
Khulna,Magura,Shalikha,Talkhari,Satanfuria,56,Black,1
Khulna,Magura,Shalikha,Talkhari,Satanfuria,49,Red,25
Khulna,Magura,Shalikha,Talkhari,Satanfuria,50,Black,1030
Khulna,Magura,Shalikha,Talkhari,Satanfuria,50,Black,1
Khulna,Magura,Shalikha,Talkhari,Satanfuria,58,Black,4
Khulna,Magura,Shalikha,Talkhari,Satanfuria,46,Black,0
Khulna,Magura,Shalikha,Talkhari,Uchgram,58,Red,75
Khulna,Magura,Shalikha,Talkhari,Uchgram,49,Red,102
Khulna,Magura,Shalikha,Talkhari,Uchgram,40,Red,85
Khulna,Magura,Shalikha,Talkhari,Uchgram,52,Red,24
Khulna,Magura,Shalikha,Arpara,Chukinagar,52,Red,119
