"id","lat","lon","division","district","upazila","union","depth","colour","as"
"WJM 003","23.4132","88.7605","Khulna","Chuadanga","Jiban Nagar","Simanta","32","Red","5"
"WJM 004","23.4121","88.7609","Khulna","Chuadanga","Jiban Nagar","Simanta","40","Red","5"
"WJM 051","23.4125","88.7622","Khulna","Chuadanga","Jiban Nagar","Simanta","0","Red","8.3"
"WJM 052","23.4123","88.7622","Khulna","Chuadanga","Jiban Nagar","Simanta","27","Red","10.7"
"WJM 005","23.4116","88.7623","Khulna","Chuadanga","Jiban Nagar","Simanta","44","Red","15"
"WJS 057","23.4213","88.7927","Khulna","Chuadanga","Jiban Nagar","Simanta","14","Black","0.3"
"WJS 053","23.4249","88.7965","Khulna","Chuadanga","Jiban Nagar","Simanta","23","Red","18.4"
"WJS 054","23.4234","88.7976","Khulna","Chuadanga","Jiban Nagar","Simanta","30","Red","24.5"
"WTJ 009","23.4157","88.8281","Khulna","Chuadanga","Jiban Nagar","Banka","50","Red","66"
"WTJ 007","23.4183","88.8284","Khulna","Chuadanga","Jiban Nagar","Banka","20","Red","282"
"WTJ 011","23.4174","88.8308","Khulna","Chuadanga","Jiban Nagar","Banka","24","Red","6"
"WJH 013","23.4066","88.859","Khulna","Chuadanga","Jiban Nagar","Banka","32","Red","16"
"WJH 015","23.4057","88.8609","Khulna","Chuadanga","Jiban Nagar","Banka","37","Red","11"
"WJH 017","23.4059","88.8615","Khulna","Chuadanga","Jiban Nagar","Banka","59","Red","8"
"WJH 016","23.4063","88.8628","Khulna","Chuadanga","Jiban Nagar","Banka","50","Red","10"
"WMR 024","23.4027","88.8906","Khulna","Jhenaidah","Maheshpur","Fatehpur","14","Black","4"
"WMR 019","23.4036","88.8913","Khulna","Jhenaidah","Maheshpur","Fatehpur","40","Red","99"
"WMR 020","23.4057","88.8918","Khulna","Jhenaidah","Maheshpur","Fatehpur","40","Red","140"
"WMR 111","23.4036","88.8918","Khulna","Jhenaidah","Maheshpur","Fatehpur","37","Red","139"
"WMR 110","23.4036","88.8919","Khulna","Jhenaidah","Maheshpur","Fatehpur","15","Red","82"
"WMR 021","23.4042","88.893","Khulna","Jhenaidah","Maheshpur","Fatehpur","17","Black","1"
"WMK 027","23.3934","88.9223","Khulna","Jhenaidah","Maheshpur","Fatehpur","18","Red","8"
"WMK 026","23.3945","88.9229","Khulna","Jhenaidah","Maheshpur","Fatehpur","18","Red","67"
"WMK 028","23.3954","88.9229","Khulna","Jhenaidah","Maheshpur","Fatehpur","40","Red","23.1"
"WMK 030","23.3958","88.9241","Khulna","Jhenaidah","Maheshpur","Fatehpur","44","Red","27.1"
"WMB 031","23.3915","88.9566","Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","15","Red","58"
"WMB 033","23.3931","88.957","Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","21","Black","40.5"
"WMB 034","23.3949","88.9577","Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","46","Red","39.6"
"WMB 036","23.3947","88.958","Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","17","Red","33.7"
"WMB 105","23.3951","88.958","Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","15","Black","2.6"
"WKK 038","23.4121","88.982","Khulna","Jhenaidah","Kotchandpur","Baluhar","58","Black","0.6"
"WKK 037","23.4116","88.9829","Khulna","Jhenaidah","Kotchandpur","Baluhar","37","Red","31.8"
"WKK 040","23.4097","88.9837","Khulna","Jhenaidah","Kotchandpur","Baluhar","58","Black","0.3"
"WKP 045","23.4088","89.0323","Khulna","Jhenaidah","Kotchandpur","Kotchandpur Paurashava","72","Black","35.9"
"WKP 047","23.4093","89.0323","Khulna","Jhenaidah","Kotchandpur","Kotchandpur Paurashava","76","Red","37.9"
"WKP 043","23.4065","89.0334","Khulna","Jhenaidah","Kotchandpur","Kotchandpur Paurashava","46","Red","60.4"
"MKE320","23.4043","89.0505","Khulna","Jhenaidah","Kotchandpur","Elangi","30","Red","42"
"MKE319","23.4045","89.0506","Khulna","Jhenaidah","Kotchandpur","Elangi","49","Black","2.8"
"MKE322","23.4034","89.0512","Khulna","Jhenaidah","Kotchandpur","Elangi","64","Black","5"
"MKE325","23.4019","89.0514","Khulna","Jhenaidah","Kotchandpur","Elangi","78","Red","87"
"MKE318","23.4033","89.052","Khulna","Jhenaidah","Kotchandpur","Elangi","55","Black","2"
"MKE321","23.4047","89.052","Khulna","Jhenaidah","Kotchandpur","Elangi","58","Black","0"
"MKE326","23.4041","89.0524","Khulna","Jhenaidah","Kotchandpur","Elangi","44","Black","0"
"MKL316","23.3983","89.0811","Khulna","Jhenaidah","Kaliganj","Trilochanpur","55","Black","59"
"MKL317","23.3989","89.0811","Khulna","Jhenaidah","Kaliganj","Trilochanpur","56","Red","24"
"MKL326","23.3992","89.0822","Khulna","Jhenaidah","Kaliganj","Trilochanpur","50","Black","29"
"MKL320","23.399","89.0823","Khulna","Jhenaidah","Kaliganj","Trilochanpur","43","Black","43"
"MKL325","23.3983","89.0856","Khulna","Jhenaidah","Kaliganj","Trilochanpur","50","Black","0"
"MKK060","23.4006","89.1158","Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","24","Red","6"
"MKK067","23.4028","89.1163","Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","27","Red","8"
"MKK063","23.4016","89.1171","Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","38","Red","11"
"MKK069","23.4022","89.1174","Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","43","Black","7"
"MKG078","23.4107","89.1557","Khulna","Jhenaidah","Kaliganj","Niamatpur","56","Black","0.2"
"MKG072","23.4116","89.1576","Khulna","Jhenaidah","Kaliganj","Niamatpur","30","Red","52.4"
"MKG074","23.4115","89.1576","Khulna","Jhenaidah","Kaliganj","Niamatpur","52","Red","7.3"
"MKG071","23.4121","89.1579","Khulna","Jhenaidah","Kaliganj","Niamatpur","49","Red","36.3"
"MKG076","23.4118","89.158","Khulna","Jhenaidah","Kaliganj","Niamatpur","43","Red","36.7"
"MKG081","23.4131","89.1611","Khulna","Jhenaidah","Kaliganj","Niamatpur","52","Red","30.6"
"MKKL088","23.4086","89.1973","Khulna","Jhenaidah","Kaliganj","Niamatpur","56","Red","70.4"
"MKKL082","23.4079","89.2014","Khulna","Jhenaidah","Kaliganj","Kola","43","Black","0.3"
"MKKL086","23.4094","89.2016","Khulna","Jhenaidah","Kaliganj","Kola","52","Black","0.2"
"MKKL084","23.4075","89.2033","Khulna","Jhenaidah","Kaliganj","Kola","49","Black","0.1"
"MKKL093","23.4075","89.2053","Khulna","Jhenaidah","Kaliganj","Kola","49","Black","0.4"
"MKKL092","23.408","89.2123","Khulna","Jhenaidah","Kaliganj","Kola","18","Red","40.4"
"MKM099","23.4103","89.2301","Khulna","Jhenaidah","Kaliganj","Kola","55","Red","91"
"MKM097","23.4067","89.2321","Khulna","Jhenaidah","Kaliganj","Kola","55","Black","0"
"MKM301","23.4038","89.2322","Khulna","Jhenaidah","Kaliganj","Kola","44","Black","0"
"MKM094","23.4092","89.233","Khulna","Jhenaidah","Kaliganj","Kola","41","Black","1"
"MKM304","23.4161","89.2368","Khulna","Jhenaidah","Kaliganj","Kola","49","Black","0.3"
"MKS306","23.4128","89.2501","Khulna","Jhenaidah","Kaliganj","Kola","49","Black","248.9"
"MKS307","23.4119","89.2547","Khulna","Jhenaidah","Kaliganj","Kola","64","Black","0.2"
"MKS314","23.4087","89.2578","Khulna","Jhenaidah","Kaliganj","Kola","49","Black","0.3"
"MKS312","23.4076","89.26","Khulna","Magura","Shalikha","Dhaneshwargati","46","Black","0.1"
"MKS315","23.4092","89.2603","Khulna","Jhenaidah","Kaliganj","Kola","55","Black","0.5"
"MST337","23.3887","89.2837","Khulna","Magura","Shalikha","Dhaneshwargati","55","Black","0"
"MST327","23.392","89.2844","Khulna","Magura","Shalikha","Dhaneshwargati","29","Black","0"
"MST329","23.3923","89.2861","Khulna","Magura","Shalikha","Dhaneshwargati","50","Black","0"
"MST332","23.3913","89.2865","Khulna","Magura","Shalikha","Dhaneshwargati","52","Black","0"
"MST330","23.3922","89.2866","Khulna","Magura","Shalikha","Dhaneshwargati","58","Black","1"
"MST338","23.3922","89.2867","Khulna","Magura","Shalikha","Dhaneshwargati","55","Black","10"
"MST334","23.3919","89.2903","Khulna","Magura","Shalikha","Dhaneshwargati","61","Black","9"
"MSS339","23.3876","89.3125","Khulna","Magura","Shalikha","Talkhari","49","Black","1"
"MSS340","23.3887","89.3145","Khulna","Magura","Shalikha","Talkhari","49","Black","0"
"MSS341","23.3893","89.316","Khulna","Magura","Shalikha","Talkhari","55","Black","1"
"MSS342","23.3892","89.3188","Khulna","Magura","Shalikha","Talkhari","56","Black","1"
"MSS343","23.3887","89.321","Khulna","Magura","Shalikha","Talkhari","49","Red","25"
"MSS345","23.3886","89.3219","Khulna","Magura","Shalikha","Talkhari","50","Black","1030"
"MSS346","23.3885","89.3224","Khulna","Magura","Shalikha","Talkhari","50","Black","1"
"MSS347","23.3892","89.3226","Khulna","Magura","Shalikha","Talkhari","58","Black","4"
"MSS348","23.3884","89.3229","Khulna","Magura","Shalikha","Talkhari","46","Black","0"
"MSU358","23.3877","89.356","Khulna","Magura","Shalikha","Talkhari","58","Red","75"
"MSU359","23.3873","89.3584","Khulna","Magura","Shalikha","Talkhari","49","Red","102"
"MSU351","23.3882","89.3586","Khulna","Magura","Shalikha","Talkhari","40","Red","85"
"MSU354","23.3866","89.3599","Khulna","Magura","Shalikha","Talkhari","52","Red","24"
"MSU355","23.3854","89.3604","Khulna","Magura","Shalikha","Arpara","52","Red","119"
"MSA366","23.388","89.3936","Khulna","Magura","Shalikha","Arpara","52","Black","0"
"MSA372","23.3891","89.3938","Khulna","Magura","Shalikha","Arpara","49","Black","0"
"MSA370","23.3892","89.394","Khulna","Magura","Shalikha","Arpara","56","Black","0"
"MSA364","23.3872","89.3947","Khulna","Magura","Shalikha","Arpara","55","Black","3"
"MSA363","23.3869","89.3961","Khulna","Magura","Shalikha","Arpara","53","Red","17"
"MSA361","23.3864","89.3964","Khulna","Magura","Shalikha","Arpara","55","Black","82"
"MSmA376","23.3896","89.4385","Khulna","Magura","Magura Sadar","Kuchiamora","37","Black","0"
"MSmA382","23.3922","89.4397","Khulna","Magura","Magura Sadar","Kuchiamora","49","Black","0"
"MSmA383","23.3916","89.4397","Khulna","Magura","Magura Sadar","Kuchiamora","49","Black","0"
"MSmA374","23.3865","89.4399","Khulna","Magura","Magura Sadar","Kuchiamora","55","Black","0"
"MSmA378","23.3925","89.441","Khulna","Magura","Magura Sadar","Kuchiamora","49","Red","0"
"MSmB389","23.3837","89.4614","Khulna","Magura","Magura Sadar","Gopalgram","61","Black","0"
"MSmB392","23.3822","89.4621","Khulna","Magura","Magura Sadar","Gopalgram","49","Black","0"
"MSmB395","23.3821","89.463","Khulna","Magura","Magura Sadar","Gopalgram","55","Black","0"
"MSmB387","23.3803","89.4633","Khulna","Magura","Magura Sadar","Gopalgram","49","Black","0"
"MSmB386","23.3808","89.4648","Khulna","Magura","Magura Sadar","Gopalgram","66","Red","20"
"MSmB384","23.3811","89.4683","Khulna","Magura","Magura Sadar","Gopalgram","55","Black","0"
"MSmS397","23.3867","89.4858","Khulna","Magura","Magura Sadar","Gopalgram","55","Black","0"
"MSmS399","23.3895","89.4892","Khulna","Magura","Magura Sadar","Gopalgram","46","Black","1"
"MSmS401","23.391","89.4913","Khulna","Magura","Magura Sadar","Gopalgram","46","Black","0"
"MSmS402","23.3911","89.4914","Khulna","Magura","Magura Sadar","Gopalgram","46","Red","8"
"MSmS405","23.3917","89.4962","Khulna","Magura","Magura Sadar","Gopalgram","61","Black","0"
"EMK406","23.3786","89.5278","Khulna","Magura","Mohammadpur","Rajapur","55","Black","0"
"EMK408","23.3858","89.5344","Khulna","Magura","Mohammadpur","Rajapur","46","Black","0"
"EMK409","23.3899","89.5366","Khulna","Magura","Mohammadpur","Rajapur","46","Black","0"
"EMK417","23.391","89.5375","Khulna","Magura","Mohammadpur","Rajapur","50","Red","11"
"EMK410","23.3897","89.5382","Khulna","Magura","Mohammadpur","Rajapur","55","Red","284"
"EMK416","23.3895","89.5417","Khulna","Magura","Mohammadpur","Rajapur","58","Red","3"
"EMK415","23.3903","89.542","Khulna","Magura","Mohammadpur","Rajapur","55","Black","1"
"EMK418","23.3862","89.5423","Khulna","Magura","Mohammadpur","Rajapur","55","Black","0"
"EMK419","23.3897","89.5426","Khulna","Magura","Mohammadpur","Rajapur","52","Red","4"
"EMK412","23.39","89.5429","Khulna","Magura","Mohammadpur","Rajapur","62","Red","2"
"EMK414","23.3888","89.5437","Khulna","Magura","Mohammadpur","Balidia","50","Black","3"
"EMK413","23.389","89.5492","Khulna","Magura","Mohammadpur","Balidia","55","Red","15"
"EMN422","23.3987","89.5814","Khulna","Magura","Mohammadpur","Mohammadpur","23","Red","54"
