Division,District,Upazila,Mean_Arsenic,Median_Arsenic,Lower_Quartile_Arsenic,Upper_Quartile_Arsenic,Data_Points,Risk
khulna,khulna,chuadanga,,,,,,3
barisal,barguna,amtali,,,,,,3
barisal,barguna,bamna,3,3,3,3,1,2
barisal,barguna,barguna sadar,,,,,,3
barisal,barguna,betagi,1,1,1,1,1,2
barisal,barguna,patharghata,11,11,11,11,1,2
barisal,barisal,agailjhara,161,157,87,238,6,4
barisal,barisal,babuganj,415,546,140,550,5,3
barisal,barisal,bakerganj,155,80,20,300,1603,4
barisal,barisal,banari para,143,86,20,209,4,3
barisal,barisal,barisal sadar (kotwali),190,238,57,271,6,4
barisal,barisal,kotwali,,,,,,3
barisal,barisal,gaurnadi,159,116,51,258,6,4
barisal,barisal,hizla,15,2,1,22,3,2
barisal,barisal,mehendiganj,442,345,233,604,3,3
barisal,barisal,muladi,351,351,193,509,2,3
barisal,barisal,wazirpur,90,41,23,109,4,3
barisal,bhola,bhola sadar,85,60,10,100,220,3
barisal,bhola,burhanuddin,,,,,,2
barisal,bhola,char fasson,,,,,,2
barisal,bhola,daulatkhan,,,,,,2
barisal,bhola,lalmohan,62,0,0,100,108,2
barisal,bhola,manpura,,,,,,2
barisal,bhola,tazumuddin,,,,,,3
barisal,jhalokati,jhalokati sadar,26,15,12,29,4,2
barisal,jhalokati,kanthalia,3,3,2,5,2,2
barisal,jhalokati,nalchity,151,23,14,160,4,3
barisal,jhalokati,rajapur,13,17,10,19,3,2
barisal,patuakhali,bauphal,,,,,,3
barisal,patuakhali,dashmina,,,,,,3
barisal,patuakhali,dumki (patuakhali sadar),,,,,,3
barisal,patuakhali,galachipa,,,,,,3
barisal,patuakhali,kala para,17,17,17,17,1,2
barisal,patuakhali,mirzaganj,,,,,,3
barisal,patuakhali,patuakhali sadar,9,9,7,10,2,2
barisal,pirojpur,bhandaria,4,3,3,5,5,2
barisal,pirojpur,kawkhali,11,9,6,15,4,2
barisal,pirojpur,mathbaria,25,1,1,5,7,2
barisal,pirojpur,nazirpur,164,168,95,236,4,3
barisal,pirojpur,nesarabad (swarupkati),23,15,12,21,5,2
barisal,pirojpur,pirojpur sadar,74,10,0,60,6162,2
barisal,pirojpur,pirojpur sadar,43,12,6,42,9,2
barisal,pirojpur,zianagar (pirojpur sadar),,,,,,3
chittagon,chittagong,sitakunda,,,,,,2
chittagong,bandarban,alikadam,,,,,,1
chittagong,bandarban,bandarban sadar,,,,,,1
chittagong,bandarban,lama,,,,,,1
chittagong,bandarban,naikhongchhari,,,,,,1
chittagong,bandarban,rowangchhari,,,,,,1
chittagong,bandarban,ruma,,,,,,1
chittagong,bandarban,thanchi,,,,,,1
chittagong,brahamanbaria,akhaura,1,0,0,0,6297,2
chittagong,brahamanbaria,ashuganj,212,212,127,297,2,3
chittagong,brahamanbaria,banchharampur,237,163,96,227,6,4
chittagong,brahamanbaria,bijoynagar,2,0,0,0,10450,2
chittagong,brahamanbaria,brahmanbaria sadar,44,10,0,60,13734,2
chittagong,brahamanbaria,kasba,20,2,1,16,7,2
chittagong,brahamanbaria,nabinagar,252,327,70,379,8,4
chittagong,brahamanbaria,nasirnagar,61,1,1,5,6,2
chittagong,brahamanbaria,sarail,5,2,1,8,5,2
chittagong,chandpur,chandpur sadar,468,471,384,604,9,4
chittagong,chandpur,faridganj,396,475,229,523,9,4
chittagong,chandpur,haim char,351,322,263,426,3,3
chittagong,chandpur,hajiganj,444,456,424,508,7,4
chittagong,chandpur,kachua,293,284,234,395,9,4
chittagong,chandpur,matlab,447,508,278,579,5,3
chittagong,chandpur,matlab dakshin,437,437,422,451,2,3
chittagong,chandpur,matlab uttar,391,391,391,391,1,3
chittagong,chandpur,shahrasti,488,401,268,533,6,4
chittagong,chittagong,anowara,9,6,2,8,7,2
chittagong,chittagong,banshkhali,1,1,1,2,4,2
chittagong,chittagong,boalkhali,,,,,,2
chittagong,chittagong,chandanaish,,,,,,2
chittagong,chittagong,fatikchhari,,,,,,2
chittagong,chittagong,hathazari,,,,,,2
chittagong,chittagong,lohagara,,,,,,2
chittagong,chittagong,mirsharai,119,60,24,191,6,4
chittagong,chittagong,patiya,,,,,,2
chittagong,chittagong,rangunia,,,,,,2
chittagong,chittagong,raozan,,,,,,2
chittagong,chittagong,sandwip,,,,,,2
chittagong,chittagong,satkania,,,,,,2
chittagong,chittagong,sitakunda,65,16,10,108,7,2
chittagong,comilla,barura,146,151,57,191,9,4
chittagong,comilla,brahman para,66,60,45,90,14405,3
chittagong,comilla,burichang,40,45,10,45,18611,2
chittagong,comilla,chandina,115,90,60,125,11668,3
chittagong,comilla,chauddagram,50,45,45,50,18621,2
chittagong,comilla,comilla adarsha sadar,3,5,1,5,5,2
chittagong,comilla,comilla sadar dakshin,37,4,1,35,8,2
chittagong,comilla,daudkandi,346,268,232,377,6,4
chittagong,comilla,debidwar,103,90,60,125,17712,3
chittagong,comilla,homna,97,89,52,156,8,4
chittagong,comilla,laksam,154,148,75,230,3,3
chittagong,comilla,manoharganj,335,313,254,394,4,3
chittagong,comilla,meghna,,,,,,3
chittagong,comilla,muradnagar,340,331,303,388,7,4
chittagong,comilla,nangalkot,148,68,54,94,7,3
chittagong,comilla,titas,158,158,146,169,2,3
chittagong,cox's bazar,chakaria,4,1,1,4,4,2
chittagong,cox's bazar,cox's bazar sadar,2,1,1,3,3,2
chittagong,cox's bazar,cox's bazar sadar,1,1,1,1,2,2
chittagong,cox's bazar,kutubdia,,,,,,2
chittagong,cox's bazar,maheshkhali,3,1,1,6,5,2
