Division,District,Upazila,Depth,Arsenic,Union
Chittagong,Lakshmipur,Lakshmipur Sadar,255,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,240,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,240,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,257,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,230,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,232,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,240,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,266,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,242,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,230,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,257,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,256,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,253,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,229,0,Char Ramani Mohan
Chittagong,Lakshmipur,Lakshmipur Sadar,252,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,257,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,258,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,256,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,249,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,252,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,253,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,237,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,261,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,259,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,242,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,242,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,242,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,242,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,260,0,Tiariganj
Chittagong,Lakshmipur,Lakshmipur Sadar,236,0,Tiariganj
