Division,District,Upazila,Depth,Arsenic,Union,Village,SlNo
Chittagong,Lakshmipur,Lakshmipur Sadar,30,10,Kushakhali,Kushakhali,1
Chittagong,Lakshmipur,Lakshmipur Sadar,30,10,Kushakhali,Kushakhali,2
Chittagong,Lakshmipur,Lakshmipur Sadar,218,10,Kushakhali,Kushakhali,3
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,4
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali,Kushakhali,5
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,6
Chittagong,Lakshmipur,Lakshmipur Sadar,34,10,Kushakhali,Kushakhali,7
Chittagong,Lakshmipur,Lakshmipur Sadar,980,0,Kushakhali,Kushakhali,8
Chittagong,Lakshmipur,Lakshmipur Sadar,840,10,Kushakhali,Kushakhali,9
Chittagong,Lakshmipur,Lakshmipur Sadar,780,0,Kushakhali,Kushakhali,10
Chittagong,Lakshmipur,Lakshmipur Sadar,780,0,Kushakhali,Kushakhali,11
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,12
Chittagong,Lakshmipur,Lakshmipur Sadar,800,10,Kushakhali,Kushakhali,13
Chittagong,Lakshmipur,Lakshmipur Sadar,30,10,Kushakhali,Kushakhali,14
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,15
Chittagong,Lakshmipur,Lakshmipur Sadar,840,0,Kushakhali,Kushakhali,16
Chittagong,Lakshmipur,Lakshmipur Sadar,890,0,Kushakhali,Kushakhali,17
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali,Kushakhali,18
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,19
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali,Kushakhali,20
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,21
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,22
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,23
Chittagong,Lakshmipur,Lakshmipur Sadar,26,30,Kushakhali,Kushakhali,24
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,25
Chittagong,Lakshmipur,Lakshmipur Sadar,27,10,Kushakhali,Kushakhali,26
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kushakhali,27
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali,Kushakhali,28
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,29
Chittagong,Lakshmipur,Lakshmipur Sadar,790,10,Kushakhali,Kushakhali,30
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali,Kushakhali,31
Chittagong,Lakshmipur,Lakshmipur Sadar,820,10,Kushakhali,Kushakhali,32
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,33
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,34
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,35
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,36
Chittagong,Lakshmipur,Lakshmipur Sadar,28,20,Kushakhali,Kushakhali,37
Chittagong,Lakshmipur,Lakshmipur Sadar,27,40,Kushakhali,Kushakhali,38
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,39
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali,Kushakhali,40
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,41
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,42
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,43
Chittagong,Lakshmipur,Lakshmipur Sadar,28,20,Kushakhali,Kushakhali,44
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,45
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,46
Chittagong,Lakshmipur,Lakshmipur Sadar,28,20,Kushakhali,Kushakhali,47
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali,Kushakhali,48
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,49
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,50
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,51
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,52
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,53
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,54
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali,Kushakhali,55
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,56
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,57
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,58
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,59
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,60
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,61
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,62
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,63
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,64
Chittagong,Lakshmipur,Lakshmipur Sadar,870,10,Kushakhali,Kushakhali,65
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,66
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,67
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,68
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,69
Chittagong,Lakshmipur,Lakshmipur Sadar,28,50,Kushakhali,Kushakhali,70
Chittagong,Lakshmipur,Lakshmipur Sadar,760,10,Kushakhali,Kushakhali,71
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,72
Chittagong,Lakshmipur,Lakshmipur Sadar,750,10,Kushakhali,Kushakhali,73
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,74
Chittagong,Lakshmipur,Lakshmipur Sadar,850,10,Kushakhali,Kushakhali,75
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,76
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,77
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,78
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,79
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,80
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,81
Chittagong,Lakshmipur,Lakshmipur Sadar,28,30,Kushakhali,Kushakhali,82
Chittagong,Lakshmipur,Lakshmipur Sadar,52,10,Kushakhali,Kushakhali,83
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,84
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,South Kathali,85
Chittagong,Lakshmipur,Lakshmipur Sadar,785,10,Kushakhali,South Kathali,86
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,South Kathali,87
Chittagong,Lakshmipur,Lakshmipur Sadar,28,40,Kushakhali,South Kathali,88
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,South Kathali,89
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,South Kathali,90
Chittagong,Lakshmipur,Lakshmipur Sadar,30,50,Kushakhali,Kushakhali,91
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kushakhali,92
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kushakhali,93
Chittagong,Lakshmipur,Lakshmipur Sadar,780,10,Kushakhali,Kushakhali,94
Chittagong,Lakshmipur,Lakshmipur Sadar,835,10,Kushakhali,Kathali,95
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,96
Chittagong,Lakshmipur,Lakshmipur Sadar,28,20,Kushakhali,Kathali,97
Chittagong,Lakshmipur,Lakshmipur Sadar,27,20,Kushakhali,Kathali,98
Chittagong,Lakshmipur,Lakshmipur Sadar,39,20,Kushakhali,Kathali,99
Chittagong,Lakshmipur,Lakshmipur Sadar,29,50,Kushakhali,Kathali,100
Chittagong,Lakshmipur,Lakshmipur Sadar,820,0,Kushakhali,Kathali,101
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,102
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,103
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,104
Chittagong,Lakshmipur,Lakshmipur Sadar,27,10,Kushakhali,Kathali,105
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,106
Chittagong,Lakshmipur,Lakshmipur Sadar,27,50,Kushakhali,Kathali,107
Chittagong,Lakshmipur,Lakshmipur Sadar,26,40,Kushakhali,Kathali,108
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,109
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,110
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,111
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,112
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,113
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,114
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,115
Chittagong,Lakshmipur,Lakshmipur Sadar,26,10,Kushakhali,Kathali,116
Chittagong,Lakshmipur,Lakshmipur Sadar,28,10,Kushakhali,Kathali,117
